features;Layers;Neurons;Finetune_learning_rate;Pretrain_learning_rate;Validation_Score;Test_score;Completion_time;Comments
193;10;20;0,010000;0,010000;21,935484;25,757576;417,99;Trying learning rate
193;10;20;0,010000;0,100000;21,935484;25,757576;407,37;Trying learning rate
193;10;20;0,010000;0,500000;21,935484;25,757576;414,01;Trying learning rate
193;10;20;0,010000;0,900000;21,935484;25,757576;423,18;Trying learning rate
193;2;20;0,001000;0,100000;21,935484;25,757576;78,16;Funnel table
193;10;200;0,001000;0,100000;21,935484;25,757576;1572,43;Funnel table
193;5;200;0,010000;0,001000;21,935484;25,757576;1200,41;Trying new dataset
193;10;200;0,010000;0,001000;21,935484;25,757576;2518,86;Trying new dataset
193;15;200;0,010000;0,001000;21,935484;25,757576;3868,98;Trying new dataset
193;20;200;0,010000;0,001000;21,935484;25,757576;7287,37;Trying new dataset
193;25;200;0,010000;0,001000;21,935484;25,757576;8868,50;Trying new dataset
193;1;300;0,010000;0,001000;21,935484;25,757576;238,82;Trying new dataset
193;2;300;0,010000;0,001000;21,935484;25,757576;659,86;Trying new dataset
193;3;300;0,010000;0,001000;21,935484;25,757576;1123,28;Trying new dataset
193;4;300;0,010000;0,001000;21,935484;25,757576;1454,61;Trying new dataset
193;5;300;0,010000;0,001000;21,935484;25,757576;2002,53;Trying new dataset
193;10;300;0,010000;0,001000;21,935484;25,757576;4467,69;Trying new dataset
193;15;300;0,010000;0,001000;21,935484;25,757576;7237,56;Trying new dataset
